,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Maldonado,UY,-34.6667,-54.9167,43.23,92,96,5.86,overcast clouds
148,Price,US,39.5994,-110.8107,57.11,30,0,8.05,clear sky
149,Saldanha,ZA,-33.0117,17.9442,66.25,70,43,11.01,scattered clouds
150,Tomatlan,MX,19.9333,-105.25,69.04,89,34,1.05,scattered clouds
151,New Norfolk,AU,-42.7826,147.0587,45.72,87,77,1.81,broken clouds
152,Ulladulla,AU,-35.35,150.4667,51.76,68,26,9.26,scattered clouds
153,Butaritari,KI,3.0707,172.7902,81.18,70,24,10.42,few clouds
154,Hualmay,PE,-11.0964,-77.6139,62.62,88,98,3.0,overcast clouds
155,Upernavik,GL,72.7868,-56.1549,26.89,87,24,14.99,few clouds
156,Huarmey,PE,-10.0681,-78.1522,63.54,90,99,5.97,overcast clouds
157,Sosnovo-Ozerskoye,RU,52.5249,111.5418,54.81,81,100,9.98,light rain
158,Chokwe,MZ,-24.5333,32.9833,79.02,47,0,0.6,clear sky
159,Kovdor,RU,67.5662,30.4758,60.01,55,100,4.45,overcast clouds
160,Saint-Philippe,RE,-21.3585,55.7679,78.39,69,23,14.45,few clouds
161,San Andres,CO,12.5847,-81.7006,80.62,89,20,2.3,few clouds
162,Qaqortoq,GL,60.7167,-46.0333,48.2,37,8,4.99,clear sky
163,Goure,NE,13.9835,10.2704,102.02,9,71,7.58,broken clouds
164,Riberalta,BO,-10.9833,-66.1,66.4,94,75,9.22,broken clouds
165,Muana,BR,-1.5283,-49.2167,74.3,94,90,2.98,overcast clouds
166,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,20.71,scattered clouds
167,Chuncheng,CN,22.1731,111.7886,84.11,84,100,10.51,overcast clouds
168,Okhotsk,RU,59.3833,143.3,44.87,77,100,5.55,overcast clouds
169,Dzhebariki-Khaya,RU,62.2167,135.8,75.18,48,18,1.32,few clouds
170,Tasiilaq,GL,65.6145,-37.6368,33.96,55,61,8.14,broken clouds
171,Shingu,JP,33.7333,135.9833,67.24,88,76,2.15,broken clouds
172,Avarua,CK,-21.2078,-159.775,77.05,83,40,12.66,scattered clouds
173,Borogontsy,RU,62.6683,131.1683,74.73,51,68,1.43,broken clouds
174,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,49,0,9.22,clear sky
175,Rampura,IN,30.25,75.2333,113.09,4,0,8.43,clear sky
176,Dingtao,CN,35.0683,115.5625,89.91,32,100,3.67,light rain
177,Wencheng,CN,33.0559,113.7978,84.61,61,100,6.85,overcast clouds
178,Savannah Bight,HN,16.45,-85.85,81.66,76,100,12.64,overcast clouds
179,Mikhaylovka,RU,50.06,43.2379,81.79,51,73,6.73,broken clouds
180,Klaksvik,FO,62.2266,-6.589,50.92,88,100,19.89,overcast clouds
181,Kudahuvadhoo,MV,2.6708,72.8944,83.62,74,81,13.76,broken clouds
182,Kutum,SD,14.2,24.6667,91.02,20,100,17.13,overcast clouds
183,Neiafu,TO,-18.65,-173.9833,79.84,75,3,15.3,clear sky
184,Mabaruma,GY,8.2,-59.7833,72.63,99,100,2.82,overcast clouds
185,Kajaani,FI,64.2273,27.7285,53.65,82,100,8.05,overcast clouds
186,Clyde River,CA,70.4692,-68.5914,30.43,93,100,4.61,overcast clouds
187,Sisimiut,GL,66.9395,-53.6735,47.91,42,27,6.08,scattered clouds
188,Nikolskoye,RU,59.7035,30.7861,61.88,68,86,10.8,overcast clouds
189,Katima Mulilo,NA,-17.5,24.2667,73.13,33,0,7.54,clear sky
190,Rio Grande,BR,-32.035,-52.0986,55.11,71,2,11.61,clear sky
191,Brainerd,US,46.358,-94.2008,51.26,62,100,3.44,overcast clouds
192,Ahipara,NZ,-35.1667,173.1667,54.54,82,85,3.31,overcast clouds
193,Georgetown,MY,5.4112,100.3354,86.95,68,20,8.05,few clouds
194,Emborion,GR,40.4833,21.55,84.29,45,44,3.56,scattered clouds
195,Isangel,VU,-19.55,169.2667,73.31,84,100,7.96,overcast clouds
196,Arkhangelskaya,RU,45.6796,40.2754,86.38,44,98,10.89,overcast clouds
197,Deputatskiy,RU,69.3,139.9,55.22,62,93,8.08,overcast clouds
198,Nova Olimpia,BR,-14.7972,-57.2881,62.94,89,25,0.51,scattered clouds
199,Leningradskiy,RU,69.3833,178.4167,31.48,92,100,2.13,overcast clouds
200,Auki,SB,-8.7676,160.7034,78.69,85,100,5.37,overcast clouds
201,Fort-Shevchenko,KZ,44.5086,50.263,81.54,32,57,4.88,broken clouds
202,Manta,EC,-0.95,-80.7333,73.18,88,100,6.91,overcast clouds
203,Buraydah,SA,26.326,43.975,106.25,4,0,5.39,clear sky
204,Kruisfontein,ZA,-34.0033,24.7314,65.88,62,69,16.58,broken clouds
205,Saint-Pierre,RE,-21.3393,55.4781,78.48,61,0,35.68,clear sky
206,Pangnirtung,CA,66.1451,-65.7125,39.65,65,10,3.87,clear sky
207,Dunedin,NZ,-45.8742,170.5036,48.79,67,56,8.01,broken clouds
208,Ludvika,SE,60.1496,15.1878,64.6,44,55,5.77,broken clouds
209,Olinda,BR,-8.0089,-34.8553,74.93,94,75,2.3,broken clouds
210,Kurush,RU,41.2841,47.8345,62.89,57,39,0.47,light rain
211,Langham,CA,52.3668,-106.9679,46.02,56,3,6.96,clear sky
212,Lompoc,US,34.6391,-120.4579,58.78,98,100,9.22,mist
213,Jardim,BR,-21.4803,-56.1381,60.35,96,43,3.56,scattered clouds
214,Portland,US,45.5234,-122.6762,56.73,92,100,1.01,overcast clouds
215,Filingue,NE,14.3521,3.3168,100.31,25,0,9.17,clear sky
216,Marzuq,YE,14.4,46.4667,87.87,29,39,10.38,scattered clouds
217,Koroni,GR,36.8,21.95,96.51,50,0,3.04,clear sky
218,Mildura,AU,-34.2,142.15,51.08,72,25,20.27,scattered clouds
219,San Patricio,US,28.017,-97.5169,78.89,95,1,3.87,clear sky
220,Genhe,CN,50.7833,121.5167,57.43,69,100,8.14,overcast clouds
221,Saint George,US,37.1041,-113.5841,72.95,20,0,4.61,clear sky
222,Minab,IR,27.1467,57.0801,110.07,9,0,1.88,clear sky
223,Sakata,JP,38.9167,139.855,57.38,77,75,3.44,broken clouds
224,Beringovskiy,RU,63.05,179.3167,40.82,77,27,4.18,scattered clouds
225,Nome,US,64.5011,-165.4064,48.27,61,0,3.44,clear sky
226,Mount Gambier,AU,-37.8333,140.7667,49.71,94,99,12.68,light rain
227,Puri,IN,19.8,85.85,91.92,85,100,18.25,overcast clouds
228,Coihaique,CL,-45.5752,-72.0662,38.01,100,0,2.3,clear sky
229,Necochea,AR,-38.5473,-58.7368,38.61,74,25,11.61,scattered clouds
230,Geraldton,AU,-28.7667,114.6,59.41,58,55,8.05,broken clouds
231,Toppenish,US,46.3774,-120.3087,56.01,89,100,5.57,overcast clouds
232,Itaituba,BR,-4.2761,-55.9836,70.57,99,100,1.81,overcast clouds
233,Zapolyarnyy,RU,69.4154,30.8136,51.08,76,100,6.06,light rain
234,Pafos,CY,34.7667,32.4167,81.23,57,20,9.22,few clouds
235,Nuuk,GL,64.1835,-51.7216,50.61,43,20,6.91,few clouds
236,Kousseri,CM,12.0769,15.0306,90.54,40,98,18.75,overcast clouds
237,Makokou,GA,0.5738,12.8642,81.45,70,94,3.69,light rain
238,Rafaela,AR,-31.2503,-61.4867,37.99,64,26,1.01,scattered clouds
239,Kolpashevo,RU,58.3131,82.9089,48.6,40,100,12.26,overcast clouds
240,Grand Gaube,MU,-20.0064,57.6608,79.38,56,14,11.99,few clouds
241,Vostok,RU,46.4856,135.8833,43.11,97,100,2.77,overcast clouds
242,Warren,US,39.4334,-84.1666,56.95,83,0,5.75,clear sky
243,Kismayo,SO,-0.3582,42.5454,82.15,69,22,15.3,light rain
244,Pisco,PE,-13.7,-76.2167,61.02,94,100,5.75,mist
245,Mayumba,GA,-3.432,10.6554,78.17,78,19,5.61,few clouds
246,Berdigestyakh,RU,62.0989,126.6992,73.17,40,6,6.33,clear sky
247,Buriti Dos Lopes,BR,-3.175,-41.8669,72.79,99,100,4.25,overcast clouds
248,Thohoyandou,ZA,-22.9456,30.485,72.93,35,0,2.75,clear sky
249,Bowen,AU,-20.0167,148.2333,73.92,78,70,6.71,broken clouds
250,Hofn,IS,64.2539,-15.2082,53.62,32,0,9.22,clear sky
251,Maceio,BR,-9.6658,-35.7353,72.84,94,100,2.3,mist
252,Tacuarembo,UY,-31.7333,-55.9833,38.93,96,6,5.59,clear sky
253,Kaitangata,NZ,-46.2817,169.8464,43.14,87,61,4.65,broken clouds
254,Kasama,ZM,-10.2129,31.1808,71.62,36,24,8.72,few clouds
255,Albert,FR,50.0009,2.651,70.79,70,0,11.5,clear sky
256,Daru,PG,-9.0763,143.2092,79.3,88,87,13.94,overcast clouds
257,Pauini,BR,-7.7136,-66.9764,70.43,99,95,2.01,light rain
258,Kloulklubed,PW,7.0419,134.2556,75.7,70,7,7.9,clear sky
259,Businga,CD,3.3333,20.8833,92.03,43,97,2.01,overcast clouds
260,Marfino,RU,55.7028,37.3822,66.45,45,0,8.95,clear sky
261,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,53,20,16.11,few clouds
262,Pacific Grove,US,36.6177,-121.9166,57.81,91,0,8.01,clear sky
263,Ambilobe,MG,-13.2,49.05,88.83,38,19,12.95,few clouds
264,Cidreira,BR,-30.1811,-50.2056,59.5,71,37,14.16,scattered clouds
265,Svecha,RU,58.2785,47.5164,64.76,59,92,12.1,overcast clouds
266,Tilichiki,RU,60.4667,166.1,50.63,68,18,1.25,few clouds
267,Itarema,BR,-2.9248,-39.9167,75.88,89,95,5.3,overcast clouds
268,Lasa,IT,46.6166,10.7002,73.69,54,10,3.65,clear sky
269,Aras,ES,42.5617,-2.356,72.01,50,0,2.3,clear sky
270,Imbituba,BR,-28.24,-48.6703,53.85,99,87,1.86,overcast clouds
271,Athabasca,CA,54.7169,-113.2854,45.01,75,24,8.39,few clouds
272,Odweyne,SO,9.4092,45.064,88.39,29,33,20.07,scattered clouds
273,Hobart,AU,-42.8794,147.3294,46.06,89,75,2.3,broken clouds
274,Kahului,US,20.8947,-156.47,75.85,77,0,5.99,clear sky
275,Hirara,JP,24.8,125.2833,77.27,94,75,5.75,moderate rain
276,Serik,TR,36.9169,31.0989,80.85,50,3,10.8,clear sky
277,Maroua,CM,10.591,14.3159,84.42,58,0,9.22,clear sky
278,Sao Joaquim,BR,-28.2939,-49.9317,34.63,96,3,3.44,clear sky
279,Lurgan,GB,54.4608,-6.3294,56.01,73,16,12.1,few clouds
280,Prieska,ZA,-29.6641,22.7474,68.65,24,4,11.05,clear sky
281,Iqaluit,CA,63.7506,-68.5145,42.53,56,40,0.0,scattered clouds
282,Valdivia,CL,-39.8142,-73.2459,44.69,96,100,1.48,overcast clouds
283,Chumikan,RU,54.7183,135.315,39.67,96,34,3.58,scattered clouds
284,Rindal,NO,63.0565,9.2124,52.84,70,100,6.78,overcast clouds
285,Atbasar,KZ,51.8,68.3333,62.87,64,81,20.07,broken clouds
286,Dingzhou,CN,38.5131,114.9956,91.51,26,2,6.64,clear sky
